k,basic_ops,hash_function
149728800,9745651,vanilla
74864400,9745865,vanilla
37432200,9835413,vanilla
18716100,10456853,vanilla
9358050,11002779,vanilla
4679025,13620559,vanilla
2339512,19970055,vanilla
1168756,32018429,vanilla
584878,56418216,vanilla
292439,104995415,vanilla
149728800,9745651,binary
74864400,9751221,binary
37432200,9783257,binary
18716100,10552247,binary
9358050,12836886,binary
4679025,14190455,binary
2339512,19957262,binary
1168756,32172885,binary
584878,56532682,binary
292439,105325397,binary
