1 vs 2: Basic Ops by Case
case_id,approach,basic_ops,optimal_value
p01,memory_function,149,37
p01,greedy_heap,14,25
p02,memory_function,179,46
p02,greedy_heap,13,44
p03,memory_function,189,0
p03,greedy_heap,11,0
p04,memory_function,239,150
p04,greedy_heap,19,150
p05,memory_function,280,30
p05,greedy_heap,17,30
p06,memory_function,357,47
p06,greedy_heap,25,29
p07,memory_function,385,100
p07,greedy_heap,18,99
p08,memory_function,440,130
p08,greedy_heap,22,60
p09,memory_function,474,100
p09,greedy_heap,28,100
p10,memory_function,506,280
p10,greedy_heap,22,160
p011,memory_function,665,171
p011,greedy_heap,41,169
p012,memory_function,882,158
p012,greedy_heap,42,131
p013,memory_function,1136,293
p013,greedy_heap,54,264
p014,memory_function,1558,541
p014,greedy_heap,70,541
p015,memory_function,2144,450
p015,greedy_heap,79,430
p016,memory_function,2972,682
p016,greedy_heap,93,669
p017,memory_function,4116,657
p017,greedy_heap,103,626
p018,memory_function,5481,1102
p018,greedy_heap,127,1077
p019,memory_function,7509,1020
p019,greedy_heap,132,931
p020,memory_function,10354,1662
p020,greedy_heap,176,1662
