case_id,approach,basic_ops,optimal_value
p01,traditional_dp,3674,309
p01,memory_function,548,309
p02,traditional_dp,3841,51
p02,memory_function,595,51
p03,traditional_dp,5185,150
p03,memory_function,683,150
p04,traditional_dp,5601,107
p04,memory_function,829,107
p05,traditional_dp,6555,900
p05,memory_function,1058,900
p06,traditional_dp,7931,1735
p06,memory_function,1200,1735
p07,traditional_dp,19963,1458
p07,memory_function,5066,1458
p08,traditional_dp,160124513,13549094
p08,memory_function,10177866,13549094
