Task 2: Greedy Approaches
case_id,approach,basic_ops,optimal_value
p01,greedy_sort,23,25
p01,greedy_heap,14,25
p02,greedy_sort,23,44
p02,greedy_heap,13,44
p03,greedy_sort,21,0
p03,greedy_heap,11,0
p04,greedy_sort,34,150
p04,greedy_heap,19,150
p05,greedy_sort,32,27
p05,greedy_heap,17,30
p06,greedy_sort,50,29
p06,greedy_heap,25,29
p07,greedy_sort,31,99
p07,greedy_heap,18,99
p08,greedy_sort,41,60
p08,greedy_heap,22,60
p09,greedy_sort,43,100
p09,greedy_heap,28,100
p10,greedy_sort,41,160
p10,greedy_heap,22,160
p011,greedy_sort,62,169
p011,greedy_heap,41,169
p012,greedy_sort,72,131
p012,greedy_heap,42,131
p013,greedy_sort,85,264
p013,greedy_heap,54,264
p014,greedy_sort,108,541
p014,greedy_heap,70,541
p015,greedy_sort,130,430
p015,greedy_heap,79,430
p016,greedy_sort,153,669
p016,greedy_heap,93,669
p017,greedy_sort,179,626
p017,greedy_heap,103,626
p018,greedy_sort,207,1077
p018,greedy_heap,127,1077
p019,greedy_sort,270,931
p019,greedy_heap,132,931
p020,greedy_sort,338,1662
p020,greedy_heap,176,1662
